109.5,1.28,1.26,1.28,1.28,-0.0384,-4.510831941
110,1.2,1.22,1.3,1.34,-0.0126,-3.89445846
110.5,1.24,1.24,1.32,1.38,-0.0106,-0.4326315492
111,1.14,1.14,1.36,1.26,-0.0408,-0.01517691345
111.5,1.16,1.14,1.2,1.14,-0.0248,0.3490804451
112,0.8,0.88,0.96,0.92,-0.0362,-1.960271158
112.5,0.7,0.66,0.6,0.68,0.0008,-5.369385488
113,0.38,0.36,0.36,0.42,-0.0016,-2.317773326
113.5,0.34,0.24,0.34,0.26,0.5184,12.48868127
114,0.3,0.12,0.38,0.12,0.5256,29.72389387
114.5,0.34,0.06,0.3,0.14,0.5172,46.6462855
115,0.32,0.08,0.36,0.1,0.5246,65.26868203
115.5,0.4,0.18,0.46,0.26,0.5066,73.8242971
116,0.38,0.18,0.36,0.16,0.509,90.67347065
116.5,0.3,0.14,0.36,0.16,0.4966,104.0317368
117,0.3,0.18,0.36,0.12,0.4918,118.3735779
117.5,0.24,0.12,0.3,0.12,0.4934,133.7516034
118,0.42,0.16,0.44,0.1,0.4996,150.277436
118.5,0.24,0.14,0.38,0.12,0.5016,163.0133889
119,0.48,0.16,0.28,0.24,0.5012,180.2845
119.5,0.38,0.3,0.46,0.36,-0.0042,179.29659
120,0.56,0.64,0.6,0.66,0.0008,177.5067658
120.5,0.86,0.86,0.98,0.86,-0.022,176.0962331
121,1.16,1.2,1.24,1.22,-0.0268,178.646289
121.5,1.2,1.22,1.28,1.34,0.0088,179.6672015
122,1.28,1.22,1.3,1.32,-0.0126,179.5352364
122.5,1.32,1.2,1.26,1.24,-0.019,181.0335065
123,1.2,1.26,1.2,1.26,-0.0026,179.5147668
123.5,1.12,1.16,1.26,1.36,0.015,180.4523378
124,1.28,1.2,1.3,1.26,0.0124,182.4494484
124.5,1.28,1.22,1.32,1.34,-0.018,179.6449469
125,1.2,1.2,1.26,1.34,-0.0052,183.2345518
125.5,1.16,1.26,1.3,1.28,-0.0012,180.9176066
